 Prunella vulgaris
 Prunus mahaleb
 Prunus spinosa
 Pterospartum tridentatum subsp. tridentatum
 Ptilostemon hispanicus
 Pulicaria arabica subsp. hispanica
 Pulicaria dysenterica
 Putoria calabrica
 Pyrus bourgaeana
 Quercus canariensis
 Quercus coccifera
 Quercus faginea subsp. faginea
 Quercus faginea
 Quercus ilex subsp. ballota
 Quercus lusitanica
 Quercus suber
 Ranunculus bullatus
 Ranunculus ficaria
 Ranunculus gramineus
 Ranunculus macrophyllus
 Ranunculus spicatus subsp. blepharicarpos
 Rapistrum rugosum
 Reichardia picroides
 Reseda phyteuma
 Reseda undata subsp. gayana
 Rhagadiolus edulis
 Rhamnus myrtifolia
 Rhamnus oleoides
 Rhaponticum coniferum
 Rosa pouzinii
 Rosmarinus officinalis
 Rubia agostinhoi
 Rubia peregrina
 Rubus ulmifolius
 Rumex bucephalophorus subsp. hispanicus
 Rumex induratus
 Rumex intermedius
 Rumex pulcher subsp. divaricatus
 Ruscus aculeatus
 Ruta angustifolia
 Ruta chalepensis
 Ruta montana
 Salix alba
 Salix atrocinerea
 Salix fragilis
 Salix pedicellata
 Salix purpurea
 Salvia argentea
 Salvia barrelieri
 Salvia verbenaca
 Salvia viridis
 Sanguisorba minor
 Saponaria officinalis
 Saxifraga globulifera
 Saxifraga reuteriana
 Scilla peruviana
 Scirpoides holoschoenus
 Scorpiurus muricatus
 Scorzonera baetica
 Scrophularia canina
 Scrophularia sambucifolia subsp. sambucifolia
 Sedum album
 Sedum brevifolium
 Sedum caespitosum
 Sedum dasyphyllum
 Sedum mucizonia
 Senecio aquaticus
 Senecio lividus
 Senecio vulgaris
 Serapias lingua
 Serapias parviflora
 Setaria verticillata
 Sherardia arvensis
 Sideritis arborescens
 Sideritis paulii
 Silene andryalifolia
 Silene bellidifolia
 Silene gaditana
 Silene gallica
 Silene inaperta subsp. inaperta
 Silene inaperta
 Silene mellifera
 Simethis mattiazzii
 Sinapis alba
 Sisymbrella aspera subsp. aspera
 Smilax aspera
 Solanum villosum
 Sonchus asper subsp. asper
 Sonchus asper
 Sonchus tenerrimus
 Spergularia bocconei
 Stachys arvensis
 Stachys circinata
 Stachys ocymastrum
 Staehelina dubia
 Stauracanthus boivinii
 Symphyotrichum squamatum
 Tamus communis
 Tanacetum annuum
 Taraxacum obovatum
 Teucrium capitatum
 Teucrium fruticans
 Teucrium lusitanicum
 Teucrium pseudoscorodonia
 Theligonum cynocrambe
 Thymus baeticus
 Thymus mastichina subsp. mastichina
 Thymus mastichina
 Torilis arvensis subsp. neglecta
 Torilis arvensis subsp. purpurea
 Torilis elongata
 Torilis nodosa
 Trifolium angustifolium
 Trifolium bocconei
 Trifolium dubium
 Trifolium glomeratum
 Trifolium leucanthum
 Trifolium pratense
 Trifolium repens
 Trifolium resupinatum
 Trifolium scabrum
 Trifolium stellatum
 Trifolium striatum
 Trigonella gladiata
 Tripodion tetraphyllum
 Tulipa sylvestris subsp. sylvestris
 Tyrimnus leucographus
 Ulex baeticus subsp. baeticus
 Umbilicus gaditanus
 Umbilicus rupestris
 Urginea maritima
 Urospermum picroides
 Urtica membranacea
 Urtica urens
 Valantia muralis
 Verbascum giganteum subsp. giganteum
 Veronica anagallis-aquatica
 Veronica persica
 Veronica polita
 Viburnum tinus
 Vicia amphicarpa
 Vicia angustifolia
 Vicia cordata
 Vicia hirsuta
 Vicia lutea subsp. cavanillesii
 Vicia lutea subsp. vestita
 Vicia parviflora
 Vicia peregrina
 Vicia pubescens
 Vicia vicioides
 Vinca difformis
 Viscum cruciatum
 Vulpia membranacea
 Xanthium orientale subsp. italicum
 Zannichellia contorta
